image_name,x,y,r,detection,track_id,label,data,esquina
_29.png,470,648,0,opencv,1284,qr,71,1
_29.png,525,639,0,opencv,1285,qr,71,2
_29.png,531,701,0,opencv,1286,qr,71,3
_29.png,473,712,0,opencv,1287,qr,71,4
_30.png,459,640,0,opencv,1284,qr,71,1
_30.png,516,631,0,opencv,1285,qr,71,2
_30.png,519,693,0,opencv,1286,qr,71,3
_30.png,464,704,0,opencv,1287,qr,71,4
_31.png,450,632,0,opencv,1284,qr,71,1
_31.png,505,622,0,opencv,1285,qr,71,2
_31.png,511,683,0,opencv,1286,qr,71,3
_31.png,453,695,0,opencv,1287,qr,71,4
_32.png,446,617,0,opencv,1284,qr,71,1
_32.png,501,607,0,opencv,1285,qr,71,2
_32.png,505,667,0,opencv,1286,qr,71,3
_32.png,450,679,0,opencv,1287,qr,71,4
_37.png,444,542,0,opencv,1284,qr,71,1
_37.png,498,532,0,opencv,1285,qr,71,2
_37.png,501,587,0,opencv,1286,qr,71,3
_37.png,448,600,0,opencv,1287,qr,71,4
_97.png,540,643,0,opencv,1284,qr,71,1
_97.png,600,645,0,opencv,1285,qr,71,2
_97.png,598,707,0,opencv,1286,qr,71,3
_97.png,538,705,0,opencv,1287,qr,71,4
_30.png,531,629,0,opencv,1288,qr,72,1
_30.png,583,619,0,opencv,1289,qr,72,2
_30.png,587,680,0,opencv,1290,qr,72,3
_30.png,535,690,0,opencv,1291,qr,72,4
_31.png,521,620,0,opencv,1288,qr,72,1
_31.png,573,611,0,opencv,1289,qr,72,2
_31.png,577,670,0,opencv,1290,qr,72,3
_31.png,524,680,0,opencv,1291,qr,72,4
_88.png,665,602,0,opencv,1288,qr,72,1
_88.png,720,604,0,opencv,1289,qr,72,2
_88.png,723,661,0,opencv,1290,qr,72,3
_88.png,665,661,0,opencv,1291,qr,72,4
_89.png,655,611,0,opencv,1288,qr,72,1
_89.png,711,611,0,opencv,1289,qr,72,2
_89.png,712,669,0,opencv,1290,qr,72,3
_89.png,655,669,0,opencv,1291,qr,72,4
_90.png,643,623,0,opencv,1288,qr,72,1
_90.png,699,623,0,opencv,1289,qr,72,2
_90.png,699,682,0,opencv,1290,qr,72,3
_90.png,643,682,0,opencv,1291,qr,72,4
_91.png,636,634,0,opencv,1288,qr,72,1
_91.png,694,636,0,opencv,1289,qr,72,2
_91.png,694,696,0,opencv,1290,qr,72,3
_91.png,636,694,0,opencv,1291,qr,72,4
_92.png,637,641,0,opencv,1288,qr,72,1
_92.png,693,642,0,opencv,1289,qr,72,2
_92.png,696,704,0,opencv,1290,qr,72,3
_92.png,635,701,0,opencv,1291,qr,72,4
_93.png,632,642,0,opencv,1288,qr,72,1
_93.png,690,643,0,opencv,1289,qr,72,2
_93.png,690,703,0,opencv,1290,qr,72,3
_93.png,632,703,0,opencv,1291,qr,72,4
_94.png,629,643,0,opencv,1288,qr,72,1
_94.png,687,643,0,opencv,1289,qr,72,2
_94.png,687,706,0,opencv,1290,qr,72,3
_94.png,627,703,0,opencv,1291,qr,72,4
_95.png,625,643,0,opencv,1288,qr,72,1
_95.png,682,645,0,opencv,1289,qr,72,2
_95.png,681,707,0,opencv,1290,qr,72,3
_95.png,623,705,0,opencv,1291,qr,72,4
_96.png,620,642,0,opencv,1288,qr,72,1
_96.png,679,644,0,opencv,1289,qr,72,2
_96.png,678,708,0,opencv,1290,qr,72,3
_96.png,618,705,0,opencv,1291,qr,72,4
_97.png,617,644,0,opencv,1288,qr,72,1
_97.png,676,647,0,opencv,1289,qr,72,2
_97.png,676,711,0,opencv,1290,qr,72,3
_97.png,615,708,0,opencv,1291,qr,72,4
_28.png,610,648,0,opencv,1292,qr,73,1
_28.png,659,640,0,opencv,1293,qr,73,2
_28.png,667,698,0,opencv,1294,qr,73,3
_28.png,616,707,0,opencv,1295,qr,73,4
_29.png,607,628,0,opencv,1292,qr,73,1
_29.png,656,620,0,opencv,1293,qr,73,2
_29.png,663,677,0,opencv,1294,qr,73,3
_29.png,612,686,0,opencv,1295,qr,73,4
_86.png,736,600,0,opencv,1292,qr,73,1
_86.png,794,600,0,opencv,1293,qr,73,2
_86.png,797,657,0,opencv,1294,qr,73,3
_86.png,739,657,0,opencv,1295,qr,73,4
_88.png,736,603,0,opencv,1292,qr,73,1
_88.png,795,605,0,opencv,1293,qr,73,2
_88.png,795,664,0,opencv,1294,qr,73,3
_88.png,738,661,0,opencv,1295,qr,73,4
_89.png,728,612,0,opencv,1292,qr,73,1
_89.png,786,613,0,opencv,1293,qr,73,2
_89.png,786,673,0,opencv,1294,qr,73,3
_89.png,728,670,0,opencv,1295,qr,73,4
_90.png,716,622,0,opencv,1292,qr,73,1
_90.png,773,624,0,opencv,1293,qr,73,2
_90.png,776,685,0,opencv,1294,qr,73,3
_90.png,716,683,0,opencv,1295,qr,73,4
_91.png,710,636,0,opencv,1292,qr,73,1
_91.png,768,637,0,opencv,1293,qr,73,2
_91.png,771,699,0,opencv,1294,qr,73,3
_91.png,711,697,0,opencv,1295,qr,73,4
_92.png,711,643,0,opencv,1292,qr,73,1
_92.png,769,644,0,opencv,1293,qr,73,2
_92.png,770,706,0,opencv,1294,qr,73,3
_92.png,710,703,0,opencv,1295,qr,73,4
_93.png,707,642,0,opencv,1292,qr,73,1
_93.png,765,644,0,opencv,1293,qr,73,2
_93.png,766,706,0,opencv,1294,qr,73,3
_93.png,707,704,0,opencv,1295,qr,73,4
_94.png,704,642,0,opencv,1292,qr,73,1
_94.png,762,646,0,opencv,1293,qr,73,2
_94.png,763,709,0,opencv,1294,qr,73,3
_94.png,704,706,0,opencv,1295,qr,73,4
